Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
4	Warnings and faults	54	Event word 1 bit 6 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	55	Event word 1 bit 7 code	0		0	65535	NoUnit
4	Warnings and faults	56	Event word 1 bit 7 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	57	Event word 1 bit 8 code	0		0	65535	NoUnit
4	Warnings and faults	58	Event word 1 bit 8 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	59	Event word 1 bit 9 code	0		0	65535	NoUnit
4	Warnings and faults	60	Event word 1 bit 9 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	61	Event word 1 bit 10 code	0		0	65535	NoUnit
4	Warnings and faults	62	Event word 1 bit 10 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	63	Event word 1 bit 11 code	0		0	65535	NoUnit
4	Warnings and faults	64	Event word 1 bit 11 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	65	Event word 1 bit 12 code	0		0	65535	NoUnit
4	Warnings and faults	66	Event word 1 bit 12 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	67	Event word 1 bit 13 code	0		0	65535	NoUnit
4	Warnings and faults	68	Event word 1 bit 13 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	69	Event word 1 bit 14 code	0		0	65535	NoUnit
4	Warnings and faults	70	Event word 1 bit 14 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	71	Event word 1 bit 15 code	0		0	65535	NoUnit
4	Warnings and faults	72	Event word 1 bit 15 aux code	0		0	4294967295	NoUnit
4	Warnings and faults	120	Fault/Warning word compatibility	0	ACS800 Standard ctrl program			NoUnit
5	Diagnostics	1	On-time counter	11		0	65535	days
5	Diagnostics	2	Run-time counter	1		0	65535	days
5	Diagnostics	4	Fan on-time counter	11		0	65535	days
5	Diagnostics	9	Time from power-up	23014298		0	4294967295	NoUnit
5	Diagnostics	11	Inverter temperature	14.5		-40	160	%
5	Diagnostics	22	Diagnostic word 3	0		0	65535	NoUnit
5	Diagnostics	41	Main fan service counter	0.3609425		0	150	%
5	Diagnostics	42	Aux. fan service counter	0		0	150	%
6	Control and status words	1	Main control word	3190		0	65535	NoUnit
6	Control and status words	2	Application control word	0		0	65535	NoUnit
6	Control and status words	3	FBA A transparent control word	0		0	4294967295	NoUnit
6	Control and status words	4	FBA B transparent control word	0		0	4294967295	NoUnit
6	Control and status words	5	EFB transparent control word	0		0	4294967295	NoUnit
6	Control and status words	11	Main status word	6712		0	65535	NoUnit
6	Control and status words	16	Drive status word 1	2055		0	65535	NoUnit
6	Control and status words	17	Drive status word 2	5		0	65535	NoUnit
6	Control and status words	18	Start inhibit status word	8		0	65535	NoUnit
6	Control and status words	19	Speed control status word	33		0	65535	NoUnit
6	Control and status words	20	Constant speed status word	0		0	65535	NoUnit
6	Control and status words	21	Drive status word 3	0		0	65535	NoUnit
6	Control and status words	25	Drive inhibit status word 2	0		0	65535	NoUnit
6	Control and status words	29	MSW bit 10 sel	2	Above limit	0	4294967295	NoUnit
6	Control and status words	30	MSW bit 11 sel	2	Ext ctrl loc	0	4294967295	NoUnit
6	Control and status words	31	MSW bit 12 sel	2	Ext run enable	0	4294967295	NoUnit
6	Control and status words	32	MSW bit 13 sel	0	False	0	4294967295	NoUnit
6	Control and status words	33	MSW bit 14 sel	0	False	0	4294967295	NoUnit
6	Control and status words	45	Follower CW user bit 0 selection	2	MCW user bit 0	0	4294967295	NoUnit
6	Control and status words	46	Follower CW user bit 1 selection	3	MCW user bit 1	0	4294967295	NoUnit
6	Control and status words	47	Follower CW user bit 2 selection	4	MCW user bit 2	0	4294967295	NoUnit
6	Control and status words	48	Follower CW user bit 3 selection	5	MCW user bit 3	0	4294967295	NoUnit
6	Control and status words	50	User status word 1	3200		0	65535	NoUnit
6	Control and status words	60	User status word 1 bit 0 sel	0	FALSE	0	4294967295	NoUnit
6	Control and status words	61	User status word 1 bit 1 sel	2	Out of window	0	4294967295	NoUnit
6	Control and status words	62	User status word 1 bit 2 sel	2	Emergency stop failed	0	4294967295	NoUnit
6	Control and status words	63	User status word 1 bit 3 sel	2	Magnetized	0	4294967295	NoUnit
6	Control and status words	64	User status word 1 bit 4 sel	2	Run disable	0	4294967295	NoUnit
6	Control and status words	65	User status word 1 bit 5 sel	0	FALSE	0	4294967295	NoUnit
6	Control and status words	66	User status word 1 bit 6 sel	0	FALSE	0	4294967295	NoUnit
