0	0	0	-3.11774e-17	-3.11774e-17	0	2.13333e+07	2.13333e+07
0.01	6.49631e-14	2.60045e-11	-3.11774e-17	3.11774e-17	-6.09029e-07	2.13333e+07	2.13333e+07
0.02	1.2199e-12	2.56059e-10	9.34892e-16	-9.34892e-16	-1.14367e-05	2.13333e+07	2.13333e+07
0.03	6.87437e-12	9.81157e-10	8.42016e-15	-8.42028e-15	-6.44527e-05	2.13333e+07	2.13333e+07
0.04	2.36455e-11	2.53914e-09	3.26138e-14	-3.26196e-14	-0.000221719	2.13333e+07	2.13333e+07
0.05	6.15608e-11	5.26614e-09	5.6531e-14	-5.65638e-14	-0.000577266	2.13333e+07	2.13333e+07
0.06	1.33906e-10	9.47611e-09	6.84851e-14	-6.85134e-14	-0.00125561	2.13333e+07	2.13333e+07
0.07	2.57001e-10	1.54638e-08	8.64173e-14	-8.64456e-14	-0.00240974	2.13333e+07	2.13333e+07
0.08	4.50062e-10	2.35169e-08	1.03784e-13	-1.03815e-13	-0.00421981	2.13333e+07	2.13333e+07
0.09	7.35187e-10	3.39249e-08	1.20247e-13	-1.2028e-13	-0.00689297	2.13333e+07	2.13333e+07
0.1	1.13739e-09	4.69826e-08	1.36083e-13	-1.36117e-13	-0.0106637	2.13333e+07	2.13333e+07
0.11	1.68467e-09	6.29885e-08	1.51413e-13	-1.51448e-13	-0.0157945	2.13333e+07	2.13333e+07
0.12	2.40799e-09	8.22412e-08	1.66286e-13	-1.66321e-13	-0.0225755	2.13333e+07	2.13333e+07
0.13	3.3413e-09	1.05038e-07	1.80657e-13	-1.80693e-13	-0.0313252	2.13333e+07	2.13333e+07
0.14	4.52154e-09	1.31673e-07	1.94429e-13	-1.94466e-13	-0.0423897	2.13333e+07	2.13333e+07
0.15	5.98853e-09	1.62439e-07	2.07472e-13	-2.07511e-13	-0.0561424	2.13333e+07	2.13333e+07
0.16	7.78504e-09	1.97624e-07	2.19599e-13	-2.19639e-13	-0.0729841	2.13333e+07	2.13333e+07
0.17	9.9567e-09	2.37515e-07	2.30566e-13	-2.30608e-13	-0.0933426	2.13333e+07	2.13333e+07
0.18	1.2552e-08	2.82397e-07	2.40084e-13	-2.40128e-13	-0.117672	2.13333e+07	2.13333e+07
0.19	1.56222e-08	3.32551e-07	2.47793e-13	-2.47839e-13	-0.146455	2.13333e+07	2.13333e+07
0.2	1.92215e-08	3.88253e-07	2.53273e-13	-2.53322e-13	-0.180196	2.13333e+07	2.13333e+07
0.21	2.34067e-08	4.49777e-07	2.56021e-13	-2.56075e-13	-0.21943	2.13333e+07	2.13333e+07
